,Date,AC.MX,ALFAA.MX,ALSEA.MX,AMXL.MX,ASURB.MX,BBAJIOO.MX,BIMBOA.MX,BOLSAA.MX,CEMEXCPO.MX,CUERVO.MX,ELEKTRA.MX,FEMSAUBD.MX,GAPB.MX,GCARSOA1.MX,GFINBURO.MX,GFNORTEO.MX,GMEXICOB.MX,GRUMAB.MX,KIMBERA.MX,KOFUBL.MX,LABB.MX,LIVEPOLC-1.MX,MEGACPO.MX,MXN=X,OMAB.MX,ORBIA.MX,PE&OLES.MX,PINFRA.MX,TLEVISACPO.MX,WALMEX.MX
500,2022-01-25,122.9800033569336,14.550000190734863,39.33000183105469,19.829999923706055,401.8800048828125,37.25,63.0099983215332,34.72999954223633,12.359999656677246,48.79999923706055,1374.5799560546875,165.41000366210938,271.07000732421875,57.58000183105469,26.280000686645508,129.9600067138672,87.88999938964844,253.32000732421875,29.90999984741211,110.77999877929688,19.700000762939453,93.95999908447266,64.16000366210938,20.573829650878906,131.99000549316406,47.900001525878906,230.13999938964844,150.85000610351562,39.54999923706055,71.01000213623047
501,2022-01-26,123.61000061035156,14.579999923706055,40.790000915527344,19.809999465942383,402.6499938964844,37.47999954223633,62.38999938964844,34.869998931884766,12.529999732971191,47.790000915527344,1356.4300537109375,164.75,270.0899963378906,57.0099983215332,26.8799991607666,131.30999755859375,87.87999725341797,252.8699951171875,30.670000076293945,110.69999694824219,19.719999313354492,95.69000244140625,63.77000045776367,20.60700035095215,133.8000030517578,47.349998474121094,219.36000061035156,149.0800018310547,39.63999938964844,69.4000015258789
502,2022-01-27,121.48999786376953,14.420000076293945,40.86000061035156,19.030000686645508,399.94000244140625,40.970001220703125,60.540000915527344,34.66999816894531,12.430000305175781,47.09000015258789,1355.47998046875,161.10000610351562,271.4700012207031,56.599998474121094,27.739999771118164,130.47000122070312,85.52999877929688,259.0799865722656,29.3700008392334,110.05000305175781,19.739999771118164,95.3499984741211,64.33999633789062,20.71540069580078,133.24000549316406,47.709999084472656,218.7100067138672,148.3800048828125,40.560001373291016,69.55999755859375
503,2022-01-28,121.51000213623047,14.609999656677246,41.56999969482422,19.020000457763672,409.1099853515625,44.15999984741211,61.529998779296875,34.68000030517578,12.65999984741211,47.220001220703125,1353.9100341796875,156.6999969482422,270.5299987792969,56.880001068115234,28.610000610351562,131.07000732421875,86.55000305175781,260.6300048828125,29.56999969482422,108.83999633789062,19.979999542236328,95.11000061035156,66.70999908447266,20.76740074157715,136.05999755859375,47.560001373291016,216.75999450683594,147.39999389648438,39.970001220703125,70.19999694824219
504,2022-01-31,122.01000213623047,15.010000228881836,42.310001373291016,19.40999984741211,417.6700134277344,44.40999984741211,64.58999633789062,35.18000030517578,12.600000381469727,49.84000015258789,1355.3800048828125,155.1999969482422,283.6099853515625,57.689998626708984,29.75,130.74000549316406,88.58999633789062,269.79998779296875,29.799999237060547,108.2699966430664,20.489999771118164,94.48999786376953,66.44000244140625,20.82900047302246,138.14999389648438,48.16999816894531,220.99000549316406,150.47999572753906,42.040000915527344,70.13999938964844
505,2022-02-01,122.95999908447266,14.960000038146973,44.400001525878906,19.5,420.3500061035156,45.900001525878906,65.0999984741211,35.18000030517578,12.729999542236328,49.970001220703125,1353.2900390625,154.58999633789062,285.55999755859375,58.52000045776367,30.760000228881836,131.2100067138672,89.83000183105469,270.739990234375,29.6200008392334,108.4000015258789,20.540000915527344,95.88999938964844,65.58000183105469,20.625900268554688,140.94000244140625,48.7400016784668,219.35000610351562,152.3800048828125,42.86000061035156,71.81999969482422
506,2022-02-02,122.41000366210938,14.90999984741211,45.29999923706055,19.510000228881836,426.489990234375,46.2400016784668,63.209999084472656,36.38999938964844,12.819999694824219,49.97999954223633,1354.25,158.60000610351562,286.5299987792969,59.02000045776367,31.079999923706055,129.3699951171875,90.13999938964844,275.30999755859375,29.600000381469727,111.08999633789062,20.65999984741211,98.62000274658203,65.41000366210938,20.545700073242188,144.11000061035156,48.86000061035156,219.89999389648438,152.02999877929688,42.880001068115234,72.70999908447266
507,2022-02-03,121.06999969482422,14.34000015258789,45.939998626708984,19.350000381469727,423.42999267578125,46.369998931884766,60.90999984741211,36.77000045776367,12.40999984741211,48.91999816894531,1353.5400390625,152.1199951171875,287.3500061035156,55.790000915527344,30.860000610351562,131.67999267578125,87.27999877929688,267.6099853515625,28.739999771118164,109.05000305175781,20.639999389648438,97.9000015258789,66.63999938964844,20.601200103759766,143.74000549316406,47.70000076293945,215.1300048828125,150.77000427246094,42.290000915527344,70.36000061035156
508,2022-02-04,122.05999755859375,14.350000381469727,46.25,18.920000076293945,425.1300048828125,48.22999954223633,62.0099983215332,37.470001220703125,12.329999923706055,51.040000915527344,1355.3199462890625,154.38999938964844,288.30999755859375,55.970001220703125,30.510000228881836,130.17999267578125,88.87000274658203,262.2799987792969,29.600000381469727,108.93000030517578,20.770000457763672,94.51000213623047,66.61000061035156,20.564599990844727,139.72999572753906,48.709999084472656,217.9600067138672,151.02000427246094,43.38999938964844,71.19000244140625
509,2022-02-08,122.02999877929688,14.880000114440918,47.09000015258789,19.15999984741211,441.3299865722656,49.91999816894531,63.400001525878906,38.2400016784668,12.229999542236328,51.060001373291016,1351.5799560546875,157.27000427246094,299.9800109863281,56.040000915527344,30.399999618530273,135.38999938964844,91.19000244140625,270.9700012207031,30.40999984741211,110.30999755859375,20.3799991607666,96.47000122070312,64.16000366210938,20.580799102783203,147.94000244140625,48.689998626708984,215.94000244140625,154.00999450683594,44.290000915527344,73.23999786376953
